id,campeonatoId,rodada,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
828,9,34,2611,41,14420,2,36:00,81,Luciano Francisco Paulino -,Vila Nova,1236,20:36
829,9,34,2616,9,14451,2,21:00,66,Ronaldo Henrique Ferreira da Silva -,Sport,1221,20:21
830,9,34,2618,47,14459,2,25:00,70,Anselmo Ramon Alves Herculano -,Crb,1195,19:55
831,9,35,2626,53,14507,1,39:00,39,Erinaldo Santos Rabelo -,Sampaio Corrêa,1209,20:09
832,9,35,2627,57,14515,1,42:00,42,Claudio de Souza -,Ituano,1332,22:12
833,9,35,2627,57,14516,1,42:00,42,MDAlexandre Goncalves Santoro -,Ituano,1332,22:12
834,9,35,2628,42,14521,2,49:00,94,Alan Santos da Silva -,Guarani,1399,23:19
835,9,35,2628,46,14522,2,37:00,82,Paulo Roberto Moccelin -,Londrina,1387,23:07
836,9,35,2628,46,14523,1,45:00,45,TGEdson Luiz da Silva -,Londrina,1335,22:15
837,9,36,2632,47,14548,1,23:00,23,Daniel dos Santos Cerqueira -,Crb,1043,17:23
838,9,36,2635,9,14560,2,48:00,93,TGJorcey Anisio Garcia Santos -,Sport,1398,23:18
839,9,36,2636,59,14565,2,49:00,94,Rodrigo Eduardo da Silva -,Mirassol,1054,17:34
840,9,36,2639,19,14579,1,12:00,12,Jadson Alves dos Santos -,Juventude,1302,21:42
841,9,36,2639,60,14580,2,31:00,76,Jhonnathan Espedito Coco Wagner -,Abc,1381,23:01
842,9,37,2641,10,14595,2,36:00,81,Bruno Ferreira Ventura Diniz -,Ceará,1116,18:36
843,9,37,2643,16,14605,2,40:00,85,Cristiano da Silva Leite -,Chapecoense,1240,20:40
844,9,37,2646,22,14622,2,19:00,64,Felipe Mercier de Lucena -,Avaí,1279,21:19
845,9,37,2646,22,14623,1,8:00,8,Jonathan Aparecido de Oliveira da Costa -,Avaí,1208,20:08
846,9,38,2650,47,14643,1,12:00,12,Fabio Augusto Schirmann -,Crb,1032,17:12
847,9,38,2651,42,14646,1,47:00,47,João Victor Lima Ferreira -,Guarani,1067,17:47
848,9,38,2651,42,14647,1,34:00,34,Iago Teles da Silva -,Guarani,1054,17:34
849,9,38,2651,3,14648,1,47:00,47,Alix Vinicius de Souza Sampaio -,Atlético,1067,17:47
850,9,38,2656,19,14672,2,15:00,60,Luiz Gustavo Tavares Conde -,Juventude,1095,18:15
851,9,38,2657,16,14681,2,24:00,69,Gustavo Cazonatti -,Chapecoense,1104,18:24
852,10,2,2671,16,14761,1,7:00,7,João Pedro Galvão de Carvalho -,Chapecoense,1267,21:07
853,10,2,2672,10,14772,2,50:00,95,Matheus Felipe Santos Nascimento -,Ceará,1280,21:20
854,10,2,2674,61,14780,1,39:00,39,Wagner da Silva Souza -,Gremio Novorizontino - Saf,1119,18:39
855,10,2,2676,63,14789,2,3:00,48,Fabiano da Silva Souza -,Amazonas Fc,1083,18:03
856,10,2,2678,62,14801,2,6:00,51,Bryan Borges Mascarenhas -,Paysandu,1086,18:06
857,10,3,2683,57,14823,1,42:00,42,Claudio de Souza -,Ituano,1302,21:42
858,10,3,2683,57,14824,2,22:00,67,Marcel Philipe Afonso Genestra Scalese -,Ituano,1342,22:22
859,10,3,2688,62,14854,2,10:00,55,Yeferson Agustin Quintana Alonso -,Paysandu,1210,20:10
860,10,4,2693,10,14884,2,36:00,81,Joao Paulo Ferreira Lourenco -,Ceará,1236,20:36
861,10,4,2697,40,14914,2,48:00,93,Fagner Ironi Daponte -,Operário,1128,18:48
862,10,4,2699,49,14921,2,45:00,90,Paulo de Souza Junior -,Brusque,1125,18:45
863,10,5,2708,62,14966,1,45:00,45,Edilson Jose da Silva Junior -,Paysandu,1335,22:15
864,10,5,2708,25,14967,2,25:00,70,Rafael Gustavo Meneghel Gava -,Goiás,1375,22:55
865,10,5,2708,62,14968,2,47:00,92,Valdemir de Oliveira Soares -,Paysandu,1397,23:17
866,10,5,2709,10,14976,2,53:00,98,Saulo Rodrigues da Silva -,Ceará,1403,23:23
867,10,6,2715,50,14997,2,18:00,63,Wellison Matheus Rodrigues Regis -,Ponte Preta,1098,18:18
868,10,6,2718,62,15021,2,49:00,94,Crystopher Ribeiro Oliveira -,Paysandu,1159,19:19
869,10,6,2718,63,15022,2,49:00,94,Matheus dos Santos Miranda -,Amazonas Fc,1159,19:19
870,10,6,2719,9,15028,1,32:00,32,Alan Nahuel Ruiz -,Sport,1292,21:32
871,10,6,2719,9,15029,2,18:00,63,Jose Roberto Assunçao de Araujo Filho -,Sport,1338,22:18
872,10,7,2720,49,15036,2,17:00,62,Luiz Henrique dos Santos Junior -,Brusque,1097,18:17
873,10,7,2723,50,15049,2,48:00,93,Vinicius Rodrigues Adelino dos Santos -,Ponte Preta,1068,17:48
874,10,7,2725,22,15062,2,44:00,89,Gustavo Vilar dos Santos -,Avaí,1394,23:14
875,10,8,2733,57,15111,2,29:00,74,Marcel Philipe Afonso Genestra Scalese -,Ituano,1199,19:59
876,10,8,2736,49,15129,1,15:00,15,Alexandre Cizeski da Luz -,Brusque,1035,17:15
877,10,9,2741,40,15164,2,40:00,85,Jose Gervasio dos Santos Neto -,Operário,1120,18:40
878,10,9,2741,42,15165,2,46:00,91,Leonardo Rodrigues dos Santos -,Guarani,1126,18:46
879,10,9,2742,59,15171,1,30:00,30,Fernando Jose Marques Maciel -,Mirassol,1170,19:30
880,10,9,2742,59,15172,2,24:00,69,Guilherme Augusto Alves Dellatorre -,Mirassol,1224,20:24
881,10,9,2746,47,15192,2,34:00,79,Saimon Pains Tormen -,Crb,1324,22:04
882,10,10,2751,61,15228,1,22:00,22,Patrick Marcos de Sousa Freitas -,Gremio Novorizontino - Saf,1042,17:22
883,10,10,2754,47,15248,2,20:00,65,Gustavo Henrique Santos -,Crb,1010,16:50
884,10,10,2755,22,15262,2,49:00,94,William de Oliveira Pottker -,Avaí,1369,22:49
885,10,10,2757,40,15277,2,54:00,99,TGDouglas Luisi Dutra -,Operário,1254,20:54
886,10,10,2758,16,15284,2,31:00,76,Giovanni Augusto Oliveira Cardoso -,Chapecoense,1351,22:31
887,10,11,2764,25,15320,2,50:00,95,Lucas Ribeiro dos Santos -,Goiás,1250,20:50
888,10,11,2765,16,15329,2,27:00,72,TGWilliam Jose de Castro -,Chapecoense,1347,22:27
889,10,11,2766,22,15335,2,28:00,73,Ronaldo Henrique Ferreira da Silva -,Avaí,1378,22:58
890,10,12,2771,10,15369,2,36:00,81,PFLucas Vinicius O. do Nascimento -,Ceará,1356,22:36
891,10,12,2774,31,15390,1,43:00,43,Moises Lima Magalhaes -,America Saf,1183,19:43
892,10,12,2779,61,15415,2,28:00,73,Luis Fellipe Campos Doria -,Gremio Novorizontino - Saf,1228,20:28
893,10,12,2779,9,15416,2,50:00,95,Francisco Alves da Silva Neto -,Sport,1250,20:50
894,10,13,2780,31,15420,2,28:00,73,TGEduardo Choynowski Melgarejo -,America Saf,1198,19:58
