id,nome,cbf
542,Eduardo German Coudet,TC
543,Hyoran Kaue Dalmoro,20
544,Everson Felipe Marques Pires,22
545,Otavio Henrique Passos Santos,5
546,Renzo Saravia,26
547,Givanildo Vieira de Sousa,7
548,Matheus Isaias dos Santos,18
549,Gabriel Jose Ferreira Mesquita,91
550,Hueglo dos Santos Neris,27
551,Antonio Francisco Moura Neto,8
552,Luciano Castan da Silva,4
553,Wallisson Luiz Alves Maximo,5
554,Alan Javier Franco,28
555,Reinaldo Manoel da Silva,22
556,Lucas Eduardo Muller,45
557,Pedro Henrique Ribeiro Goncalves,34
558,Miguel David Terans Perez,10
559,Alex Paulo Menezes Santana,80
560,Kayque Luiz Pereira,62
561,Vinicius Nelson de Souza Zanocelo,25
562,Christian Chagas Tarouco,4
563,Nicolas Brian Acevedo Tabarez,26
564,Neuciano de Jesus Gusmao,40
565,Everaldo Stum,9
566,Adilson dos Anjos Oliveira,8
567,Walter Kannemann,4
568,Luis Alberto Suarez Diaz,9
569,Bruno Uvini Bortolanca,15
570,Thiago Galhardo do Nascimento Rocha,91
571,Caio Alexandre Sousa E Silva,8
572,José Welison da Silva,17
573,Francisco das Chagas Soares dos Santos,9
574,Rafael Pereira da Silva,2
575,Luis Manuel Ribeiro de Castro,TC
576,Carlos Eduardo de Oliveira Alves,33
577,João Carlos Magalhães Brandão -,AT
578,Abel Fernando Moreira Ferreira,TC
579,Joao Miguel Barreto Martins,AT
580,Artur Victor Guimaraes,14
581,Lucas Khodor Silvestre,AT
582,David Correa da Fonseca,22
583,Rodrigo Huendra Almeida Mendonça,18
584,Pablo Gonçalves Maia Fortunato,29
585,Pablo Gonçalves Maia Fortunato -,29
586,Maycon de Andrade Barberan,7
587,Ruan de Oliveira Ferreira,33
588,Antonio José Cardoso de Oliveira,TC
589,Deyverson Brum Silva,16
590,Denilson Alves Borges,27
591,Fernando Pereira do Nascimento,88
592,Fabio Deivson Lopes Maciel,1
593,German Ezequiel Cano,14
594,David Braz de Oliveira Filho,44
595,Guilherme Costa Marques,60
596,Jose Ricardo Araujo Fernandes,5
597,Willian Osmar de Oliveira Silva,12
598,Mariano Ferreira Filho,25
599,Paolo Mauricio Lemos Merladett,28
600,Lucas Evangelista Santana de Oliveira,8
601,Leonardo Javier Realpe Montaño,2
602,Cleiton Schwengber,1
603,Matheus dos Santos Dias,41
604,Rodrigo Modesto da Silva Moledo,4
605,Jair Rodrigues Junior,8
606,Lucas Piton Crivellaro,6
607,Robson Alves de Barros,30
608,Guilherme de Aguiar Camacho,29
609,Thiago Dombroski Moreira,55
610,Robson dos Santos Fernandes,30
611,Victor Luis Chuab Zamblauskas,26
612,Guilherme de Aguiar Camacho -,29
613,Wallisson Luiz Alves Maximo,5
614,Ryan Carlos Santos de Sousa,66
615,Kayky da Silva Chagas,37
616,Victor Hugo Soares dos Santos,4
617,Julio Cesar de Rezende Miranda,5
618,Danilo Fernandes Batista,1
