id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
102,103 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,11,08/06/2023,16:00,960,16,Tarde,Heriberto Hulse / Criciuma,4,14,10,0
103,104 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,44,11,06/06/2023,21:30,1290,21,Noite,Santa Cruz / Ribeirao Preto,15,6,2,0
104,105 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,11,07/06/2023,19:00,1140,19,Noite,Dr. Jorge Ismael de Biasi / Novo Horizonte,3,0,5,1
105,106 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,11,07/06/2023,19:00,1140,19,Noite,Adelmar da Costa Carvalho / Recife,19,1,5,0
106,107 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,45,11,07/06/2023,19:00,1140,19,Noite,Governador João Castelo / Sao Luis,12,16,8,2
107,108 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,28,11,06/06/2023,19:00,1140,19,Noite,Índio Condá / Chapeco,9,2,9,1
108,109 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,25,11,06/06/2023,19:00,1140,19,Noite,Soares de Azevedo / Muriae,5,10,5,1
109,110 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,23,11,07/06/2023,21:30,1290,21,Noite,Rei Pelé / Maceio,18,8,2,0
110,111 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,12,11/06/2023,11:00,660,11,Manha,Moisés Lucarelli / Campinas,11,19,3,1
111,112 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,12,10/06/2023,16:00,960,16,Tarde,Onésio Brasileiro Alvarenga / Goiania,2,0,5,0
112,113 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,27,12,11/06/2023,15:30,930,15,Tarde,Aderbal Ramos da Silva / Florianopolis,1,15,10,0
113,114 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,12,10/06/2023,17:00,1020,17,Tarde,Novelli Junior / Itu,6,13,2,0
114,115 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,12,10/06/2023,17:00,1020,17,Tarde,Dr. Jorge Ismael de Biasi / Novo Horizonte,3,12,6,0
115,116 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,12,11/06/2023,18:00,1080,18,Noite,Manoel Barradas / Salvador,10,4,3,0
116,117 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,26,12,10/06/2023,19:30,1170,19,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,7,18,5,0
117,118 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,12,11/06/2023,18:15,1095,18,Noite,Alfredo Jaconi / Caxias do Sul,14,5,8,0
118,119 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,38,12,11/06/2023,11:00,660,11,Manha,Jacy Scaff / Londrina,16,8,8,0
119,120 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,46,12,09/06/2023,21:30,1290,21,Noite,Maria Lamas Farache / Natal,17,9,7,0
120,121 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,13,25/06/2023,18:00,1080,18,Noite,Brinco de Ouro da Princesa / Campinas,0,10,5,0
121,122 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,13,23/06/2023,19:00,1140,19,Noite,Antônio Accioly / Goiania,13,11,5,0
122,123 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,13,24/06/2023,16:00,960,16,Tarde,Aderbal Ramos da Silva / Florianopolis,1,16,5,0
123,124 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,13,24/06/2023,11:00,660,11,Manha,Santa Cruz / Ribeirao Preto,15,2,4,0
124,125 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,13,25/06/2023,11:00,660,11,Manha,José Maria de Campos Maia / Mirassol,8,17,7,1
125,126 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,13,22/06/2023,21:30,1290,21,Noite,Adelmar da Costa Carvalho / Recife,19,14,3,1
126,127 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,22,13,25/06/2023,15:30,930,15,Tarde,Governador João Castelo / Sao Luis,12,7,6,1
127,128 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,13,24/06/2023,17:00,1020,17,Tarde,Índio Condá / Chapeco,9,4,7,0
128,129 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,13,24/06/2023,18:15,1095,18,Noite,Soares de Azevedo / Muriae,5,3,3,0
129,130 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,13,21/06/2023,19:00,1140,19,Noite,Rei Pelé / Maceio,18,6,4,0
130,131 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,25,14,28/06/2023,21:30,1290,21,Noite,Brinco de Ouro da Princesa / Campinas,0,8,7,1
131,132 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,47,14,27/06/2023,21:30,1290,21,Noite,Onésio Brasileiro Alvarenga / Goiania,2,5,9,1
132,133 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,14,27/06/2023,19:00,1140,19,Noite,Heriberto Hulse / Criciuma,4,18,3,0
133,134 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,30,14,28/06/2023,21:30,1290,21,Noite,Novelli Junior / Itu,6,11,4,0
134,135 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,23,14,27/06/2023,21:30,1290,21,Noite,Dr. Jorge Ismael de Biasi / Novo Horizonte,3,15,9,0
