id,nome,cbf
602,Helio Junio Nunes de Castro,11
603,Guilherme Kennedy Romao  Goianiense Saf,6
604,Mateo Zuleta Garcia  Goianiense Saf,19
605,Jonathan Calleri,9
606,Kaique Rocha Lima,4
607,Welington Damascena Santos,6
608,Aldemir dos Santos Ferreira,47
609,Alan Pereira Empereur,33
610,Filipe Augusto Carvalho Souza,5
611,Oscar David Romero Villamayor,70
612,Andre Luis da Costa Alfredo,97
613,Railan Reis Ferreira,21
614,Jose Ivaldo Almeida Silva,5
615,Matheus Leonardo Sales Cardoso,17
616,Rodrigo Fagundes de Freitas,3
617,Allano Brendon de Souza Lima,2
618,Joao Marcelo Messias Ferreira,43
619,Wesley Ribeiro Silva,21
620,Alan Patrick Louren,10
621,Jose Ivaldo Almeida Silva,5
622,Lucas Silva Borges,16
623,Rodrigo Garro,10
624,Walisson Moreira Farias Maia,33
625,Gustavo Bonatto Barreto,88
626,Matheus Martins Fogaca de Paulo,30
627,Pedro Guilherme Abreu dos Santos,9
628,Ramon Ramos Lima,23
629,Derik Gean Severino Lacerda,22
630,Bartolomeu Jacinto Quissanga,15
631,Francisco das Chagas Soares dos Santos,9
632,Brahian Palacios Alzate,30
633,Victor Hugo Soares dos Santos,4
634,Ronielson da Silva Barbosa,10
635,Eduardo Colcenti Antunes,19
636,Robert Abel Arboleda Escobar,5
637,Tomas Pochettino,7
638,Kau,19
639,German Ezequiel Cano,14
640,Luiz Fernando Moraes dos Santos  Goianiense Saf,11
641,Fernando Augusto Pereira Bueno Junior,6
642,Mateo Gamarra Gonzalez,15
643,Lucas Angel Esquivel,37
644,Lucas Henrique Barbosa,21
645,Cristian David Pavon,21
646,Reinaldo Manoel da Silva,6
647,Luiz Filipe da Rosa Machado,23
648,Rodrigo Andr,21
649,Givanildo Vieira de Sousa,7
650,Luiz Gustavo Dias,16
651,Carlos Eduardo de Oliveira Alves,33
652,Mateo Ponte Costa,4
653,Tomas Cardona,25
654,Allan Rodrigues de Souza,21
655,Raniele Almeida Melo,14
656,Felix Eduardo Torres Caicedo,3
657,Igor Caique Coronado,77
658,Giovane Santana do Nascimento,17
659,Estevao Willian Almeida de Oliveira Goncalves,41
660,Gabriel Baralhas dos Santos  Goianiense Saf,8
661,Maswel Ananias Silva  Goianiense Saf,19
662,Rafael Santos Borre Maury,19
663,Vinicius Mendonca Pereira,54
664,Sergio Stevan Palacios Zapata,13
665,Vitor Eduardo da Silva Matos,44
666,Luan Candido de Almeida,36
667,Fernando Luiz Roza,5
668,Everaldo Stum,9
669,Thiago Heleno Henrique Ferreira,44
670,Marcos Victor Ferreira da Silva,44
671,Danilo Fernandes Batista,1
672,Alan Pereira Empereur,33
673,Lucas Henrique Barbosa,21
674,Lucas Fernandes da Silva,18
675,Denilson Alves Borges,27
676,Andr,7
677,Alvaro Martin Barreal,21
678,Nathan Gabriel de Souza Mendes,45
679,Vitor Hugo Amorim de Assis,22
680,Denilson Alves Borges,27
681,Alan Pereira Empereur,33
682,Carlos Maria de Pena Bonino,14
683,Gabriel Lheman Xavier,3
684,Walter Leandro Capeloza Artune,1
685,Kaique Rocha Lima,4
686,Samuel Xavier Brito,2
687,Fernando Augusto Pereira Bueno Junior,6
688,Maycon Vinicius Ferreira da Cruz,11
689,Jhon Adolfo Arias Andrade,21
690,Mycael Pontes Moreira,41
691,Alexander Nahuel Barboza Ullua,20
692,Damian Nicolas Su,22
693,Raniele Almeida Melo,14
694,Joao Pedro Vilardi Pinto,23
695,Mathias Adalberto Villasanti Rolon,20
696,Igor Vinicius de Souza,2
697,Lucas Rodrigues Moura da Silva,7
698,Rafael Pires Monteiro,23
699,Nathan Ribeiro Fernandes,32
700,Luan Vinicius da Silva Santos,8
701,Janderson de Carvalho Costa,39
702,Hercules Pereira do Nascimento,35
703,Juan Martin Lucero,9
