id,nome,cbf
419,Jackson Diego Ibraim Fagundes,20
420,Marcos Antonio Almeida Silva,77
421,Jeferson Marinho dos Santos,9
422,Geirton Marques Aires,8
423,Fabio Augusto Schirmann,3
424,Carlos Eduardo de Souza Vieira,5
425,Anderson Leite Morais,5
426,Luis Henrique Soares Firmino,11
427,Gabriel Santana Pinto,27
428,Rodrigo Vasconcelos Oliveira,5
429,Mauricio Garcez de Jesus,11
430,Leonardo Augusto de Oliveira,2
431,Jose Aldo Soares de Oliveira Filho,20
432,Marcel Philipe Afonso Genestra Scalese,14
433,Gabriel Buscariol Poveda,9
434,Alberto Valentim do Carmo Neto,TC
435,Marcel Philipe Afonso Genestra Scalese -,14
436,Joao Pedro Chermont Crema,44
437,Tomás Eduardo Rincón Hernández,8
438,Patrick de Carvalho Brey,6
439,Juan Ramon Cazares Sevillano,36
440,Jonas Gabriel da Silva Nunes,17
441,Geremias Ribeiro Junior,29
442,Igor Henrique Martins Machado,27
443,Jemmes Bruno Ribeiro da Silva,4
444,Gianluca Piola Minozzo,6
445,Denis de Oliveira Aguiar Junior,26
446,Eric Almeida de Melo,14
447,Guilherme de Queiroz Goncalves,17
448,Renato Palm da Silveira,33
449,Diego Mathias de Almeida,27
450,Wagner da Silva Souza,30
451,Reverson Valuarth Paiva Silva,16
452,Diego Barbosa Tavares,11
453,Wallace Reis Silva,4
454,Geovane Batista de Faria,5
455,Alexandre Cizeski da Luz -,AT
456,Ezequiel Jacinto de Biasi,2
457,Rodrigo Oliveira Lindoso,19
458,Jacy Maranhao Oliveira,55
459,Diogo da Costa Silva,4
460,Bruno Aparecido Reis Ezequiel,5
461,Joseph Mauricio de Oliveira Figueiredo,30
462,Marlon Matheus Lopes do Nascimento,6
463,Wanderson Camelo Viana,4
464,Lucas Figueiredo dos Santos,22
465,Jean Carlos de Souza Irmer,5
466,Natanael Moreira Milouski,16
467,Bruno Ferreira Melo,26
468,Lucas Ronier Vieira Pires,98
469,Paulo Victor de Almeida Barbosa,21
470,David Ricardo Loiola da Silva,4
471,Jonathan de Jesus Alves,55
472,Joao Lucas Vilela de Sousa,18
473,Matheus Bahia Santos,79
474,Juan Sebastian Quintero Fletcher,3
475,Rhuan Ferreira Ramos,21
476,Alesson dos Santos Batista,11
477,Denis de Oliveira Aguiar Junior,26
478,Igor Henrique Martins Machado,27
479,Patrick de Lucca Chaves de Oliveira,8
480,Luciano Francisco Paulino,10
481,Bruno Matias dos Santos,20
482,Paulo Victor de Almeida Barbosa,21
483,Jorge Eduardo Recalde Ramírez,28
484,Vinicius Diniz Dall Antonia,8
485,Marlon Douglas de Sales Silva,8
486,Jose Gervasio dos Santos Neto,88
487,Airton Moises Santos Sousa,30
488,Marco Antonio de Oliveira Coelho,20
489,Reinaldo Nascimento Satorno,20
490,Jose Gervasio dos Santos Neto -,88
491,Leonardo Rodrigues dos Santos -,3
492,Fernando Jose Marques Maciel,7
493,David Braz de Oliveira Filho,4
